Make,ID,Year,ModelYear,Height,Length,Width,Driveline,EngineType,Transmission,Hybrid,ForwardGears,Citympg,FuelType,Highwaympg,Classification,Horsepower,Torque
Nissan,2009 Nissan Pathfinder LE 4x4 V8,2009,2009 Nissan Pathfinder,54,25,57,Four-wheel drive,Nissan 5.6L 8 Cylinder 310 hp 388 ft-lbs,5 Speed Automatic,TRUE,5,13,Gasoline,18,Automatic transmission,310,388
Nissan,2009 Nissan Pathfinder S,2009,2009 Nissan Pathfinder,36,25,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,5 Speed Automatic,TRUE,5,15,Gasoline,22,Automatic transmission,266,288
Nissan,2009 Nissan Pathfinder S 4x4,2009,2009 Nissan Pathfinder,52,25,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,5 Speed Automatic,TRUE,5,14,Gasoline,20,Automatic transmission,266,288
Nissan,2009 Nissan Pathfinder LE 4x4,2009,2009 Nissan Pathfinder,52,25,57,Four-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,5 Speed Automatic,TRUE,5,14,Gasoline,20,Automatic transmission,266,288
Nissan,2009 Nissan Pathfinder SE,2009,2009 Nissan Pathfinder,41,25,57,Rear-wheel drive,Nissan 4.0L 6 Cylinder 266 hp 288 ft-lbs,5 Speed Automatic,TRUE,5,15,Gasoline,22,Automatic transmission,266,288
Volkswagen,2011 Volkswagen Routan S,2011,2011 Volkswagen Routan,115,23,161,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 283 hp 260 ft-lbs,6 Speed Automatic,TRUE,6,17,Gasoline,25,Automatic transmission,283,260
Volkswagen,2011 Volkswagen Routan SE,2011,2011 Volkswagen Routan,214,23,161,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 283 hp 260 ft-lbs,6 Speed Automatic,TRUE,6,17,Gasoline,25,Automatic transmission,283,260
Volkswagen,2011 Volkswagen Routan SEL,2011,2011 Volkswagen Routan,214,23,161,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 283 hp 260 ft-lbs,6 Speed Automatic,TRUE,6,17,Gasoline,25,Automatic transmission,283,260
Volkswagen,2011 Volkswagen Routan SEL Premium,2011,2011 Volkswagen Routan,214,15,161,Front-wheel drive,Volkswagen 3.6L 6 Cylinder 283 hp 260 ft-lbs,6 Speed Automatic,TRUE,6,17,Gasoline,25,Automatic transmission,283,260
Volkswagen,2010 Volkswagen Tiguan S,2010,2010 Volkswagen Tiguan,148,75,16,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,TRUE,6,19,Gasoline,26,Manual transmission,200,207
Volkswagen,2010 Volkswagen Tiguan S AT,2010,2010 Volkswagen Tiguan,148,75,16,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic,TRUE,6,18,Gasoline,24,Automatic transmission,200,207
Volkswagen,2010 Volkswagen Tiguan SE,2010,2010 Volkswagen Tiguan,150,75,16,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic,TRUE,6,18,Gasoline,24,Automatic transmission,200,207
Volkswagen,2010 Volkswagen Tiguan SEL,2010,2010 Volkswagen Tiguan,150,75,16,Front-wheel drive,Volkswagen 2.0L 4 Cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic,TRUE,6,18,Gasoline,24,Automatic transmission,200,207
Hyundai,2012 Hyundai Sonata GLS,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 198 hp 184 ft-lbs,6 Speed Manual,TRUE,6,24,Gasoline,35,Manual transmission,198,184
Hyundai,2012 Hyundai Sonata Limited PZEV,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 190 hp 179 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,24,Gasoline,35,Automatic transmission,190,179
Hyundai,2012 Hyundai Sonata SE,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 200 hp 186 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,24,Gasoline,35,Automatic transmission,200,186
Hyundai,2012 Hyundai Sonata GLS PZEV,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 190 hp 179 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,24,Gasoline,35,Automatic transmission,190,179
Hyundai,2012 Hyundai Sonata GLS AT,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 198 hp 184 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,24,Gasoline,35,Automatic transmission,198,184
Hyundai,2012 Hyundai Sonata SE Turbo,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,34,Automatic transmission,274,269
Hyundai,2012 Hyundai Sonata Limited,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 198 hp 184 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,24,Gasoline,35,Automatic transmission,198,184
Hyundai,2012 Hyundai Sonata Limited Turbo,2012,2012 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,34,Automatic transmission,274,269
Hyundai,2011 Hyundai Sonata Limited,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 200 hp 186 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,200,186
Hyundai,2011 Hyundai Sonata Limited Turbo,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,33,Automatic transmission,274,269
Hyundai,2011 Hyundai Sonata GLS AT,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 198 hp 184 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,198,184
Hyundai,2011 Hyundai Sonata GLS,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 198 hp 184 ft-lbs,6 Speed Manual,TRUE,6,24,Gasoline,35,Manual transmission,198,184
Hyundai,2011 Hyundai Sonata SE Turbo,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,274,269
Hyundai,2011 Hyundai Sonata Limited PZEV,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 190 hp 179 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,190,179
Hyundai,2011 Hyundai Sonata GLS PZEV,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 190 hp 179 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,190,179
Hyundai,2011 Hyundai Sonata SE,2011,2011 Hyundai Sonata,190,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 200 hp 186 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,35,Automatic transmission,200,186
Hyundai,2010 Hyundai Sonata GLS AT,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 175hp 168 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,175,168
Hyundai,2010 Hyundai Sonata GLS,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 175hp 168 ft-lbs,5 Speed Manual,TRUE,5,21,Gasoline,32,Manual transmission,175,168
Hyundai,2010 Hyundai Sonata GLS PZEV,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 168hp 163 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,168,163
Hyundai,2010 Hyundai Sonata SE PZEV,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 168hp 163 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,168,163
Hyundai,2010 Hyundai Sonata SE,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 175hp 168 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,175,168
Hyundai,2010 Hyundai Sonata Limited,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 175hp 168 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,175,168
Hyundai,2010 Hyundai Sonata Limited PZEV,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 2.4L 4 cylinder 168hp 163 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,22,Gasoline,32,Automatic transmission,168,163
Hyundai,2010 Hyundai Sonata Limited V6,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 3.3L 6 cylinder 249hp 229 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,19,Gasoline,29,Automatic transmission,249,229
Hyundai,2010 Hyundai Sonata SE V6,2010,2010 Hyundai Sonata,193,190,39,Front-wheel drive,Hyundai 3.3L 6 cylinder 249hp 229 ft-lbs,5 Speed Automatic Select Shift,TRUE,5,19,Gasoline,29,Automatic transmission,249,229
Honda,2011 Honda CR-Z EX,2011,2011 Honda CR-Z,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,6 Speed Manual,TRUE,6,31,Gasoline,37,Manual transmission,122,128
Honda,2011 Honda CR-Z,2011,2011 Honda CR-Z,114,239,203,Front-wheel drive,Honda 1.5L 4 Cylinder 122hp 128lb-ft Hybrid,6 Speed Manual,TRUE,6,31,Gasoline,37,Manual transmission,122,128
Hyundai,2011 Hyundai Veracruz GLS,2011,2011 Hyundai Veracruz,13,233,153,Front-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,22,Automatic transmission,260,257
Hyundai,2011 Hyundai Veracruz Limited,2011,2011 Hyundai Veracruz,13,233,153,Front-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,22,Automatic transmission,260,257
Hyundai,2011 Hyundai Veracruz GLS AWD,2011,2011 Hyundai Veracruz,13,233,153,All-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,16,Gasoline,21,Automatic transmission,260,257
Hyundai,2011 Hyundai Veracruz Limited AWD,2011,2011 Hyundai Veracruz,13,233,153,All-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,16,Gasoline,21,Automatic transmission,260,257
Hyundai,2010 Hyundai Veracruz GLS AWD,2010,2010 Hyundai Veracruz,13,233,153,All-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,16,Gasoline,22,Automatic transmission,260,257
Hyundai,2010 Hyundai Veracruz GLS,2010,2010 Hyundai Veracruz,13,233,153,Front-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,23,Automatic transmission,260,257
Hyundai,2010 Hyundai Veracruz Limited AWD,2010,2010 Hyundai Veracruz,13,233,153,All-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,16,Gasoline,22,Automatic transmission,260,257
Hyundai,2010 Hyundai Veracruz Limited,2010,2010 Hyundai Veracruz,13,233,153,Front-wheel drive,Hyundai 3.8L 6 cylinder 260hp 257 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,23,Automatic transmission,260,257
Honda,2011 Honda Fit,2011,2011 Honda Fit,244,8,158,Front-wheel drive,Honda 1.5L 4 Cylinder 117 hp 106 ft-lbs,5 Speed Manual,TRUE,5,27,Gasoline,33,Manual transmission,117,106
Honda,2011 Honda Fit AT,2011,2011 Honda Fit,244,8,158,Front-wheel drive,Honda 1.5L 4 Cylinder 117 hp 106 ft-lbs,5 Speed Automatic,TRUE,5,28,Gasoline,35,Automatic transmission,117,106
Honda,2011 Honda Fit Sport,2011,2011 Honda Fit,244,8,158,Front-wheel drive,Honda 1.5L 4 Cylinder 117 hp 106 ft-lbs,5 Speed Manual,TRUE,5,27,Gasoline,33,Manual transmission,117,106
Honda,2011 Honda Fit Sport AT,2011,2011 Honda Fit,244,8,158,Front-wheel drive,Honda 1.5L 4 Cylinder 117 hp 106 ft-lbs,5 Speed Automatic,TRUE,5,27,Gasoline,33,Automatic transmission,117,106
Hyundai,2011 Hyundai Sonata Hybrid,2011,2011 Hyundai Sonata Hybrid,185,212,41,Front-wheel drive,Hyundai 2.4L 4 Cylinder 166 hp 154 ft-lbs Hybrid,6 Speed Automatic Select Shift,TRUE,6,35,Gasoline,40,Automatic transmission,166,154
Hyundai,2012 Hyundai Tucson GL AT,2012,2012 Hyundai Tucson,120,47,29,Front-wheel drive,Hyundai 2.0L 4 Cylinder 165 hp 146 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,23,Gasoline,31,Automatic transmission,165,146
