Make,ID,Year,ModelYear,Height,Length,Width,Driveline,EngineType,Transmission,Hybrid,ForwardGears,Citympg,FuelType,Highwaympg,Classification,Horsepower,Torque
Audi,2009 Audi A3 3.2,2009,2009 Audi A3,140,143,202,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,6 Speed Automatic Select Shift,TRUE,6,18,Gasoline,25,Automatic transmission,250,236
Audi,2009 Audi A3 2.0 T AT,2009,2009 Audi A3,140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,22,Gasoline,28,Automatic transmission,200,207
Audi,2009 Audi A3 2.0 T,2009,2009 Audi A3,140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Manual,TRUE,6,21,Gasoline,30,Manual transmission,200,207
Audi,2009 Audi A3 2.0 T Quattro,2009,2009 Audi A3,140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,21,Gasoline,28,Automatic transmission,200,207
Audi,2009 Audi A3 2.0 T Quattro,2009,2009 Audi A3,140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,21,Gasoline,28,Automatic transmission,200,207
Audi,2009 Audi A5 3.2,2009,2009 Audi A5,91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Manual,TRUE,6,16,Gasoline,27,Manual transmission,265,243
Audi,2009 Audi A5 3.2 AT,2009,2009 Audi A5,91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,26,Automatic transmission,265,243
Audi,2009 Audi Q7 4.2,2009,2009 Audi Q7,201,221,191,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,13,Gasoline,18,Automatic transmission,350,325
Audi,2009 Audi Q7 3.6,2009,2009 Audi Q7,201,221,191,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,14,Gasoline,20,Automatic transmission,280,266
Audi,2009 Audi A4 Sedan 2.0 T Quattro,2009,2009 Audi A4 Sedan,147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,TRUE,6,22,Gasoline,30,Manual transmission,211,258
Audi,2009 Audi A4 Sedan 2.0 T Quattro AT,2009,2009 Audi A4 Sedan,147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,21,Gasoline,27,Automatic transmission,211,258
Audi,2009 Audi A4 Sedan 3.2,2009,2009 Audi A4 Sedan,147,96,34,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,17,Gasoline,26,Automatic transmission,265,243
Acura,2012 Acura TL,2012,2012 Acura TL,172,63,87,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,20,Gasoline,29,Automatic transmission,280,254
Acura,2012 Acura TL SH-AWD,2012,2012 Acura TL,172,63,87,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,18,Gasoline,26,Automatic transmission,305,273
BMW,2010 BMW X5 M SUV,2010,2010 BMW X5,226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,12,Gasoline,17,Automatic transmission,555,500
BMW,2011 BMW X5 M SUV,2011,2011 BMW X5,226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,12,Gasoline,17,Automatic transmission,555,500
BMW,2010 BMW X6 M,2010,2010 BMW X6,148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,12,Gasoline,17,Automatic transmission,555,500
BMW,2011 BMW X6 M,2011,2011 BMW X6,148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,TRUE,6,12,Gasoline,17,Automatic transmission,555,500
Chevrolet,2012 Chevrolet Colorado Work Truck,2012,2012 Chevrolet Colorado,112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,TRUE,5,18,Gasoline,25,Manual transmission,185,190
Chevrolet,2012 Chevrolet Colorado Extended Cab Work Truck,2012,2012 Chevrolet Colorado,112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,TRUE,5,18,Gasoline,25,Manual transmission,185,190
Chevrolet,2012 Chevrolet Colorado Crew Cab 1LT,2012,2012 Chevrolet Colorado,120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4 Speed Automatic,TRUE,4,18,Gasoline,25,Automatic transmission,185,190
Chevrolet,2011 Chevrolet Colorado Work Truck,2011,2011 Chevrolet Colorado,112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,TRUE,5,18,Gasoline,25,Manual transmission,185,190
Chevrolet,2011 Chevrolet Colorado Extended Cab Work Truck,2011,2011 Chevrolet Colorado,112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,TRUE,5,18,Gasoline,25,Manual transmission,185,190
Chevrolet,2011 Chevrolet Colorado Crew Cab 1LT,2011,2011 Chevrolet Colorado,120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,4 Speed Automatic,TRUE,4,18,Gasoline,25,Automatic transmission,185,190
Chevrolet,2010 Chevrolet Colorado Work Truck,2010,2010 Chevrolet Colorado,112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,5 Speed Manual,TRUE,5,18,Gasoline,25,Manual transmission,185,190
