Make,ID,Year,ModelYear,Height,Length,Width,Driveline,EngineType,Transmission,Hybrid,ForwardGears,Citympg,FuelType,Highwaympg,Classification,Horsepower,Torque
Honda,2012 Honda Accord EX-L V-6 Sedan,2012,2012 Honda Accord Sedan,195,86,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,5 Speed Automatic,TRUE,5,20,Gasoline,30,Automatic transmission,271,254
Honda,2012 Honda Accord EX-L Sedan,2012,2012 Honda Accord Sedan,195,86,54,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,TRUE,5,23,Gasoline,34,Automatic transmission,190,162
Honda,2012 Honda Accord EX V-6 Sedan,2012,2012 Honda Accord Sedan,195,86,54,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,5 Speed Automatic,TRUE,5,20,Gasoline,30,Automatic transmission,271,254
Honda,2012 Honda Accord LX-S Coupe,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,TRUE,5,23,Gasoline,32,Manual transmission,190,162
Honda,2012 Honda Accord LX-S Coupe AT,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,TRUE,5,22,Gasoline,33,Automatic transmission,190,162
Lexus,2012 Lexus RX 350 AWD,2012,2012 Lexus RX,184,162,93,All-wheel drive,Lexus 3.5L 6 Cylinder 270 hp 248 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,18,Gasoline,24,Automatic transmission,270,248
Lexus,2012 Lexus RX 350 FWD,2012,2012 Lexus RX,184,162,93,Front-wheel drive,Lexus 3.5L 6 Cylinder 270 hp 248 ft-lbs,6 Speed Automatic Select Shift,TRUE,6,18,Gasoline,25,Automatic transmission,270,248
Honda,2012 Honda Accord EX Coupe,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Manual,TRUE,5,23,Gasoline,32,Manual transmission,190,162
Honda,2012 Honda Accord EX Coupe AT,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,TRUE,5,22,Gasoline,33,Automatic transmission,190,162
Honda,2012 Honda Accord EX-L Coupe,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,5 Speed Automatic,TRUE,5,22,Gasoline,33,Automatic transmission,190,162
Honda,2012 Honda Accord EX-L V6 Coupe,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,6 Speed Manual,TRUE,6,17,Gasoline,26,Manual transmission,271,251
Honda,2012 Honda Accord EX-L V6 Coupe AT,2012,2012 Honda Accord Coupe,152,243,57,Front-wheel drive,Honda 3.5L 6 Cylinder 271 hp 254 ft-lbs,5 Speed Automatic,TRUE,5,19,Gasoline,29,Automatic transmission,271,254
